                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78576,                   0.98,                      1,                0.62139,             0.00023631,             0.00023631,             0.00023631
                      2,                0.21283,                0.99333,                      1,                0.56498,             0.00042736,             0.00042736,             0.00042736
                      3,                0.15673,                0.99111,                      1,                 0.5716,             0.00057127,             0.00057127,             0.00057127
                      4,                0.12449,                0.99778,                      1,                0.56164,             0.00050194,             0.00050194,             0.00050194
                      5,                  0.092,                0.99556,                      1,                0.55783,             0.00043126,             0.00043126,             0.00043126
                      6,                 0.0982,                0.99778,                      1,                0.55622,             0.00036057,             0.00036057,             0.00036057
                      7,                0.06277,                0.99778,                      1,                0.55409,             0.00028988,             0.00028988,             0.00028988
                      8,                 0.0882,                      1,                      1,                0.55577,              0.0002192,              0.0002192,              0.0002192
                      9,                0.07155,                      1,                      1,                0.55421,             0.00014851,             0.00014851,             0.00014851
                     10,                0.08167,                      1,                      1,                0.55542,             7.7826e-05,             7.7826e-05,             7.7826e-05
