                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.05715,                0.99778,                      1,                  0.555,             0.00023631,             0.00023631,             0.00023631
                      2,                0.06889,                0.99778,                      1,                0.55684,             0.00046962,             0.00046962,             0.00046962
                      3,                0.07072,                0.99778,                      1,                0.55493,             0.00069821,             0.00069821,             0.00069821
                      4,                0.08978,                      1,                      1,                0.55278,             0.00069279,             0.00069279,             0.00069279
                      5,                0.07093,                0.99556,                      1,                0.55982,             0.00068573,             0.00068573,             0.00068573
                      6,                0.14239,                0.99111,                      1,                0.56039,             0.00067866,             0.00067866,             0.00067866
                      7,                0.06095,                      1,                      1,                0.56151,             0.00067159,             0.00067159,             0.00067159
                      8,                0.05414,                      1,                      1,                0.55331,             0.00066452,             0.00066452,             0.00066452
                      9,                0.05973,                0.99778,                      1,                0.55625,             0.00065745,             0.00065745,             0.00065745
                     10,                0.07092,                0.99778,                      1,                0.55504,             0.00065038,             0.00065038,             0.00065038
                     11,                0.06857,                0.99556,                      1,                0.56046,             0.00064331,             0.00064331,             0.00064331
                     12,                0.04288,                0.99778,                      1,                 0.5542,             0.00063625,             0.00063625,             0.00063625
                     13,                0.05194,                0.99778,                      1,                0.55761,             0.00062918,             0.00062918,             0.00062918
                     14,                0.04308,                      1,                      1,                0.55635,             0.00062211,             0.00062211,             0.00062211
                     15,                0.04331,                      1,                      1,                0.55311,             0.00061504,             0.00061504,             0.00061504
                     16,                0.03324,                      1,                      1,                0.55356,             0.00060797,             0.00060797,             0.00060797
                     17,                0.02501,                      1,                      1,                0.55321,              0.0006009,              0.0006009,              0.0006009
                     18,                0.03279,                      1,                      1,                0.55245,             0.00059383,             0.00059383,             0.00059383
                     19,                0.03223,                      1,                      1,                0.55347,             0.00058677,             0.00058677,             0.00058677
                     20,                0.03825,                0.99778,                      1,                0.55679,              0.0005797,              0.0005797,              0.0005797
                     21,                0.02328,                      1,                      1,                0.55152,             0.00057263,             0.00057263,             0.00057263
                     22,                0.01663,                      1,                      1,                 0.5519,             0.00056556,             0.00056556,             0.00056556
                     23,                0.04028,                      1,                      1,                0.55286,             0.00055849,             0.00055849,             0.00055849
                     24,                0.03078,                0.99778,                      1,                0.55435,             0.00055142,             0.00055142,             0.00055142
                     25,                0.03269,                0.99778,                      1,                0.55397,             0.00054435,             0.00054435,             0.00054435
                     26,                0.03381,                0.99778,                      1,                  0.554,             0.00053728,             0.00053728,             0.00053728
                     27,                 0.0288,                      1,                      1,                0.55264,             0.00053022,             0.00053022,             0.00053022
                     28,                 0.0361,                0.99778,                      1,                0.55373,             0.00052315,             0.00052315,             0.00052315
                     29,                0.02557,                0.99778,                      1,                0.55316,             0.00051608,             0.00051608,             0.00051608
                     30,                0.02057,                0.99778,                      1,                0.55356,             0.00050901,             0.00050901,             0.00050901
                     31,                0.02211,                      1,                      1,                0.55223,             0.00050194,             0.00050194,             0.00050194
                     32,                0.02792,                      1,                      1,                0.55326,             0.00049487,             0.00049487,             0.00049487
                     33,                0.01664,                      1,                      1,                 0.5522,              0.0004878,              0.0004878,              0.0004878
                     34,                0.03253,                      1,                      1,                0.55252,             0.00048074,             0.00048074,             0.00048074
                     35,                0.02557,                      1,                      1,                0.55208,             0.00047367,             0.00047367,             0.00047367
                     36,                0.02316,                      1,                      1,                0.55243,              0.0004666,              0.0004666,              0.0004666
                     37,                0.01454,                      1,                      1,                0.55189,             0.00045953,             0.00045953,             0.00045953
                     38,                0.02325,                      1,                      1,                0.55198,             0.00045246,             0.00045246,             0.00045246
                     39,                0.02411,                      1,                      1,                0.55208,             0.00044539,             0.00044539,             0.00044539
                     40,                  0.025,                      1,                      1,                0.55339,             0.00043832,             0.00043832,             0.00043832
                     41,                0.03031,                      1,                      1,                0.55196,             0.00043126,             0.00043126,             0.00043126
                     42,                 0.0235,                      1,                      1,                0.55225,             0.00042419,             0.00042419,             0.00042419
                     43,                0.01751,                      1,                      1,                0.55212,             0.00041712,             0.00041712,             0.00041712
                     44,                 0.0195,                      1,                      1,                0.55223,             0.00041005,             0.00041005,             0.00041005
                     45,                0.02169,                      1,                      1,                0.55215,             0.00040298,             0.00040298,             0.00040298
                     46,                 0.0294,                      1,                      1,                0.55206,             0.00039591,             0.00039591,             0.00039591
                     47,                 0.0137,                      1,                      1,                0.55191,             0.00038884,             0.00038884,             0.00038884
                     48,                0.02016,                      1,                      1,                0.55215,             0.00038178,             0.00038178,             0.00038178
                     49,                0.02317,                      1,                      1,                0.55287,             0.00037471,             0.00037471,             0.00037471
                     50,                 0.0172,                      1,                      1,                0.55206,             0.00036764,             0.00036764,             0.00036764
                     51,                0.01761,                      1,                      1,                0.55242,             0.00036057,             0.00036057,             0.00036057
                     52,                0.03611,                0.99778,                      1,                0.55434,              0.0003535,              0.0003535,              0.0003535
                     53,                0.01747,                      1,                      1,                  0.553,             0.00034643,             0.00034643,             0.00034643
                     54,                 0.0247,                      1,                      1,                0.55271,             0.00033936,             0.00033936,             0.00033936
                     55,                0.02225,                      1,                      1,                 0.5522,              0.0003323,              0.0003323,              0.0003323
                     56,                0.01483,                      1,                      1,                0.55207,             0.00032523,             0.00032523,             0.00032523
                     57,                0.01755,                      1,                      1,                0.55317,             0.00031816,             0.00031816,             0.00031816
                     58,                0.01738,                      1,                      1,                 0.5524,             0.00031109,             0.00031109,             0.00031109
                     59,                0.01829,                      1,                      1,                0.55362,             0.00030402,             0.00030402,             0.00030402
                     60,                0.01616,                      1,                      1,                0.55321,             0.00029695,             0.00029695,             0.00029695
                     61,                0.01921,                      1,                      1,                0.55331,             0.00028988,             0.00028988,             0.00028988
                     62,                0.01942,                      1,                      1,                0.55291,             0.00028282,             0.00028282,             0.00028282
                     63,                0.01503,                      1,                      1,                0.55229,             0.00027575,             0.00027575,             0.00027575
                     64,                0.01867,                      1,                      1,                0.55214,             0.00026868,             0.00026868,             0.00026868
                     65,                0.01628,                      1,                      1,                0.55245,             0.00026161,             0.00026161,             0.00026161
                     66,                0.01794,                      1,                      1,                0.55238,             0.00025454,             0.00025454,             0.00025454
                     67,                0.01334,                      1,                      1,                0.55247,             0.00024747,             0.00024747,             0.00024747
                     68,                0.01697,                      1,                      1,                0.55225,              0.0002404,              0.0002404,              0.0002404
                     69,                0.02112,                      1,                      1,                0.55218,             0.00023334,             0.00023334,             0.00023334
                     70,                0.01333,                      1,                      1,                0.55216,             0.00022627,             0.00022627,             0.00022627
                     71,                0.01944,                      1,                      1,                 0.5527,              0.0002192,              0.0002192,              0.0002192
                     72,                0.02293,                      1,                      1,                0.55379,             0.00021213,             0.00021213,             0.00021213
                     73,                0.01603,                      1,                      1,                0.55279,             0.00020506,             0.00020506,             0.00020506
                     74,                0.00854,                      1,                      1,                0.55254,             0.00019799,             0.00019799,             0.00019799
                     75,                0.01573,                      1,                      1,                0.55262,             0.00019092,             0.00019092,             0.00019092
                     76,                0.01741,                      1,                      1,                0.55309,             0.00018385,             0.00018385,             0.00018385
                     77,                0.00903,                      1,                      1,                0.55236,             0.00017679,             0.00017679,             0.00017679
                     78,                0.01225,                      1,                      1,                0.55232,             0.00016972,             0.00016972,             0.00016972
                     79,                0.01516,                      1,                      1,                0.55262,             0.00016265,             0.00016265,             0.00016265
                     80,                0.01829,                      1,                      1,                0.55227,             0.00015558,             0.00015558,             0.00015558
                     81,                0.01217,                      1,                      1,                0.55246,             0.00014851,             0.00014851,             0.00014851
                     82,                0.01508,                      1,                      1,                0.55301,             0.00014144,             0.00014144,             0.00014144
                     83,                0.00825,                      1,                      1,                0.55299,             0.00013437,             0.00013437,             0.00013437
                     84,                0.01624,                0.99778,                      1,                0.55325,             0.00012731,             0.00012731,             0.00012731
                     85,                0.01765,                0.99778,                      1,                0.55339,             0.00012024,             0.00012024,             0.00012024
                     86,                0.01294,                0.99778,                      1,                0.55326,             0.00011317,             0.00011317,             0.00011317
                     87,                0.01567,                0.99778,                      1,                0.55357,              0.0001061,              0.0001061,              0.0001061
                     88,                0.01202,                      1,                      1,                0.55289,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.01482,                0.99778,                      1,                0.55342,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.00707,                0.99778,                      1,                0.55318,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.01611,                      1,                      1,                0.55282,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.00679,                      1,                      1,                0.55272,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.01001,                0.99778,                      1,                0.55284,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.01045,                      1,                      1,                0.55272,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.00981,                      1,                      1,                 0.5528,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.00972,                0.99778,                      1,                0.55302,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.01161,                0.99778,                      1,                0.55306,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.00617,                0.99778,                      1,                0.55291,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.00635,                0.99778,                      1,                0.55286,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                  0.014,                0.99778,                      1,                0.55302,             1.4209e-05,             1.4209e-05,             1.4209e-05
